    LAYER  SECTOR    WIRE      GAIN
        3       3       9    0.002078
        3       3      10    0.002176
        3       4       0    0.001711
        3       4       1    0.001957
        3       4       2    0.002011
        3       4       3    0.002001
        3       4       4    0.001790
        3       4       5    0.002137
        3       4       6    0.002171
        3       4       7    0.001500
        3       4       8    0.001693
        3       4       9    0.002610
        3       4      10    0.002550
        3       5       0    0.001824
        3       5       1    0.002162
        3       5       2    0.002432
        3       5       3    0.001902
        3       5       4    0.002029
        3       5       5    0.002130
        3       5       6    0.001739
        3       5       7    0.001618
        3       5       8    0.001636
        3       5       9    0.002096
        3       5      10    0.002165
        3       6       0    0.001913
        3       6       1    0.002746
        3       6       2    0.002179
        3       6       3    0.002236
        3       6       4    0.002059
        3       6       5    0.002052
        3       6       6    0.002091
        3       6       7    0.001987
        3       6       8    0.001910
        3       6       9    0.002701
        3       6      10    0.002682
        3       7       0    0.001916
        3       7       1    0.001982
        3       7       2    0.002503
        3       7       3    0.002235
        3       7       4    0.001995
        3       7       5    0.002585
        3       7       6    0.001966
        3       7       7    0.001782
        3       7       8    0.001882
        3       7       9    0.002266
        3       7      10    0.002287
        3       8       0    0.001753
        3       8       1    0.002080
        3       8       2    0.002174
        3       8       3    0.001827
        3       8       4    0.002216
        3       8       5    0.002121
        3       8       6    0.002400
        3       8       7    0.001654
        3       8       8    0.001862
